Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
42840905881044,2015-07-27,2015-07-28,2015-07-28,lost data,Soheb Rapati,,"Text,Group pop-up,Completed,Reed Hepatitis C","study ID: 576595
user: Russell

I am doing updates for the Elsevier Hep C project. I finished making result and qualifier changes, but when clicked on the ""validate"" button it showed errors telling me thatthe dose for all group pop ups should have a decimal or range or number. I saved my changes, then clicked ""close don't save"" because I wanted to make sure that I have studies in my queue for tomorrow. When I went to re-open that study I was working on, I noticed that a lot of the data/info that the previous analyst had filled out was missing, including all dose regimen information. All updates that I had made were still intact. Here are screen shots of what was lost. The screen shot of one of the arms is the same problem for all 10 arms of this study. Is there any way to retrieve this past information or do I need to re-extract the data?",First Priority,
42651222938561,2015-07-24,2015-07-28,2015-07-28,update #/time fields in group popup on training site,Soheb Rapati,,"High Priority,Text,Group pop-up,Completed,Training Site","validation issue with the #/time fields in the group pop-up on the training site. It is only allowing a range in the # field and not a single number. Per the validation error it reports we should be allowed to have numerical or range data.

It does not seem to be an issue on the live site.",First Priority,
44683271521499,2015-08-07,,2015-08-13,transfer all tasks into Github,Amit,,"Highest Priority,admin",,First Priority,
39209930888472,2015-06-25,,2015-07-23,Needed for Text QC:,,,,,First Priority,
42482402030562,2015-07-23,2015-07-28,2015-07-28,[Duplicate] data from QC assignments is overwriting original text assignment,Soheb Rapati,,"Text,QC,Highest Priority",please keep original text assignment as they are. do not overwrite text assignments with the data that QC enters in the QC assignment,First Priority,
42169506141368,2015-07-21,,2015-08-10,"track datapoint changes - who, what, when",Sumit Patel,2015-08-01,"Text,Table,QC,Highest Priority","user1
role of user1
original datapoint entry

user2
role of user2
change to datapoint entry

https://github.com/DoctorEvidence/DRE-General/issues/9
",First Priority,
42482402030585,2015-07-23,2015-08-03,2015-08-03,"update ""complete"" on QC assignments to ""QC finalized"" - same as tables",Soheb Rapati,,"High Priority,Text,Completed,admin,Ready to push live/training","very confusing - cannot tell if ""complete"" is the status of the original analyst assignment or the QC assignment. please update QC assignments to the same terminology as table QC - 
QC Assigned 
QC In Progress (after QC opens and adds any information/data to the study)
QC In Progress (when assignment is sent back to analyst)
QC Finalized
",First Priority,
42482402030592,2015-07-23,2015-08-03,2015-08-03,"Add ""Send Back"" button on QC assignment to send assignment back to assigned analyst or other user ",Soheb Rapati,,"High Priority,Text,QC,Completed,Ready to push live/training",,First Priority,
43020433940071,2015-07-28,2015-08-03,2015-08-03,"add ""Send Back"" button at TOP of QC assignment. ",,,,,,"Add ""Send Back"" button on QC assignment to send assignment back to assigned analyst or other user "
43020433940073,2015-07-28,2015-08-03,2015-08-03,"default push back to assigned user, but given the option to reassign to anyone  (add dropdown for all users)",,,,,,"Add ""Send Back"" button on QC assignment to send assignment back to assigned analyst or other user "
43020433940069,2015-07-28,2015-08-03,2015-08-03,"QC user should not be allowed to open the study while it's in progress with the analyst. Only after the analyst completes it, should the QC user be allowed to open it again. ",,,,,,"Add ""Send Back"" button on QC assignment to send assignment back to assigned analyst or other user "
43020433940075,2015-07-28,2015-07-28,2015-07-28,"add QC header bar across top of study with ""Send Back"" button so easier to differentiate QC assignment vs. extraction assignment",,,,,,"Add ""Send Back"" button on QC assignment to send assignment back to assigned analyst or other user "
42482402030564,2015-07-23,2015-07-24,2015-07-24,"remove ""Save & QC finalize"" button on text & text QC assignments",Soheb Rapati,,"Text,QC,Completed,Highest Priority",we don't need this anymore now that we have QC assignments,First Priority,
41028366095835,2015-07-10,2015-07-10,2015-07-10,assigning studies frozen in staging db,Chetan Bhimewal,,Bugs,"started when i tried to unassign (delete) a table of mine (successfully did it for one study, then froze on the next study)

every other study i've pulled up the select user popup, it just circles ""please wait"" continuous - over 10 min now",First Priority,
33024521798229,2015-05-01,2015-05-04,2015-05-04,[Duplicate] Selection of 'Therapy- Device/Surgery' Study Type in the study level tab incorrectly brings up 'Therapy-Drug' fields in treatment arms,Greg,,,"Username: Brett
Study ID: 739716
Location of Issue:
1) Type of Assignment: Text Extraction
2) Location within study: N/A
Project: ARDS

Summary:

When “Therapy-Device/Surgery” is selected in the “Study Type” section of the Study Level tab, the incorrect treatment fields appear in each treatment arm. As shown in the screenshot, the “Therapy-Device/Surgery” study type is reflected
in the treatment arm, but the fields below this study type correspond to the “Therapy-Drug” study type. This issue can be re-created simply by selecting the “Therapy-Device/Surgery” Study type in the study level tab.",First Priority,
32832212527092,2015-04-29,2015-04-30,2015-04-30,"Study Summary: Data splitting across multiple rows, only one row in backend",Ajay,,Completed,"This is moved over from GitHub #514.

It looks like for RefID  667229, for some reason the data is being sent over in two different rows, but according to https://app.asana.com/0/10415042720634/10415042720634 it's only one row on the form.  See images below.",First Priority,
39009356929885,2015-06-24,2015-06-30,2015-06-30,Lost p-values,Jignesh Patel,,"Text,Completed,Highest Priority,AHA/ACC Hypertension","User: Mui
Ref ID: 354395

Within-group and between-group are being lost after saving and reopening.  P-value column is still present, but within-group p-value rows are gone.  There should be over 30 within-group p-values and about 15-20 between-group p-values present.
",First Priority,
39642429413094,2015-06-29,2015-07-09,2015-07-09,Save and Continue not working,Soheb Rapati,,"Text,Completed,Highest Priority,Training Site","Analyst: Bobby, Alicia
Project: Training
Ref ID: 6813
Training Site

When analyst presses ‘Save and Continue’ nothing appears to happen. Window does not close and timestamp does not update. The screenshot was taken after saving at 2:45 pm, the timestamp still reads 1:35.",First Priority,
39235545113923,2015-06-25,2015-07-14,2015-07-14,All study level field data was lost except for Study Phases,Soheb Rapati,,"Bugs,Text,Study Level tab,Highest Priority,AHA/ACC Hypertension","Username: Rachel
Study ID: 718035

When I opened this study to review, all the appropriate study level fields were filled in. I was saving periodically while i was in the study. I saved and closed and and re-entered for the new subgroup fields to show in the drop-down and now the study level is completely blank except for the study phases. The result data is still entered and was not lost.",First Priority,
39350009591833,2015-06-26,2015-06-30,2015-06-30,Extractor not allowing save and losing outcome and p-values.,Jignesh Patel,,"Text,Highest Priority,Statistics (pvalues & AM),AHA/ACC Hypertension","Username: mui
Study ID: 354964

Extractor will begin to not allow opening of tabs and quickly followed by not allowing saving.  After saving, sometimes data will still be lost when the extractor starts to freeze like that when it sits for a while.",First Priority,
36355310148299,2015-06-02,2015-07-10,2015-07-10,"Adding AM flag causes P-value and AM fields to be unresponsive. AM flags disappear after saving, exiting, and reopening study.",Sumit Patel,,"Bugs,High Priority,Text,Completed,Statistics (pvalues & AM),NCCMH CBT for Psychosis"," Username: augusta
Study ID: 402447

 Adding flag to AM causes other AM boxes and P-value boxes to become unresponsive. Cannot click to view, edit, or add these values. Saving, exiting, and reopening the study resumed AM/P-value box functionality, but AM flags disappear.",First Priority,
38710070929508,2015-06-22,2015-07-15,2015-07-15,"2.0 Template blank, but results showing on front end.",Soheb Rapati,,"Bugs,Text,Highest Priority,Natural History of HER2; Breast Cancer Database","Username: augusta
Study ID: 547488

Summary: Data displays in Study Summary on front end, but back end template is blank. Cannot edit/change results in text extraction form. Table extraction seems to work normally (data present, can edit).",First Priority,
40773393977331,2015-07-08,2015-07-14,2015-07-14,Overlapping Population and Subgroup drop downs do not contain all groups on template,Soheb Rapati,,"High Priority,Text,Completed,BMS- Renal Cell Carcinoma","user: Joshua
ID: 342904

The subgroup and overlapping population drop downs in the group pop-up do not contain all of the groups on the template.

appears to be a single study issue - logging out and back in (clearing cache) doesn't seem to work. but does work for other studies.",First Priority,
39209930888497,2015-06-25,2015-07-30,2015-07-30,ability to expand/collapse iterations,Sumit Patel,2015-07-31,"Text,Medium Priority,QC,Ready to push live/training",within text assignment AND text QC assignments,First Priority,
40730916180794,2015-07-08,2015-07-24,2015-07-24,summary notes - add section or result name,Soheb Rapati,,"High Priority,Text,QC,Completed",,First Priority,
41431875808675,2015-07-14,2015-07-24,2015-07-24,"on the study level tab, use the ""section"" name (i.e. objective, power & statistics, document type) ",,,,,,summary notes - add section or result name
41431875808680,2015-07-14,2015-07-24,2015-07-24,"on the group/results tab, use result - iteration name",,,,,,summary notes - add section or result name
41431875808682,2015-07-14,2015-07-24,2015-07-24,"in group popup, use group name or intervention name",,,,,,summary notes - add section or result name
39209930888495,2015-06-25,,2015-07-23,ability to drag & drop iterations within a result AND ability to add to different result,Sumit Patel,,"Text,Medium Priority,QC",within text assignment AND text QC assignments,First Priority,
44091439709477,2015-08-03,,2015-08-07,Updates to analyst's when QC has been sent back,Soheb Rapati,,"High Priority,Text,QC",analyst status and QC status should be two SEPARATE things - saved separately,First Priority,
44091439709485,2015-08-03,,2015-08-03,"After QC sends study back, analyst status should be:",,,,,,Updates to analyst's when QC has been sent back
44091439709487,2015-08-03,,2015-08-03,"AR pending, not QC pending",,,,,,Updates to analyst's when QC has been sent back
44091439709479,2015-08-03,,2015-08-03,When analyst completes study analyst status should say:,,,,,,Updates to analyst's when QC has been sent back
44091439709489,2015-08-03,,2015-08-03,"""Complete"" not ""QC in progress""",,,,,,Updates to analyst's when QC has been sent back
32735118871997,2015-04-28,,2015-07-15,Bugs/Problems:,,,,,First Priority,
39406815744887,2015-06-26,2015-06-30,2015-06-30,MOA popup not saving,Sumit Patel,,"Text,Completed,Highest Priority","it appears that it will save if there is not a free textbox associated with it.  but if there is a textbox, the text is not there when you open the popup. we can't lose this data.",First Priority,
40881982710117,2015-07-09,2015-07-10,2015-07-10,NA unitlabel not available on training site (please update training site to match live site),Sumit Patel,,"High Priority,Text,Table,Completed,Group/Results tab",,First Priority,
40882157881923,2015-07-09,2015-07-10,2015-07-10,Arms not deleting - Training template,Soheb Rapati,,"Bugs,Text,Completed,Highest Priority,Group/Results tab","user: Linda 
Ref ID 660681

There were 2 arms she wanted to delete and clicked the white x. Both groups column headers disappeared, but the columns of data still appear on the template. For one arm, the data appears for all of the results. For the other arm, the result data is visible on about half of the template.

Lauren tried testing on her account on a different study, and was able to delete arms fine. Linda has been working on a new study and everything working fine. so this appears to be a single study issue. ",First Priority,
40748528404102,2015-07-08,2015-07-10,2015-07-10,Cannot reassign studies,Chetan Bhimewal,,"Highest Priority,admin,IBM/Watson","Username:  Mui
Study ID:   889803

I am unable to reassign studies, whether they are completed or in progress.  After performing searches for the kbase, using the search tool and hunting for it visually in an analyst’s queue, when I try to reassign,
nothing happens.",First Priority,
39985839899538,2015-07-01,2015-07-09,2015-07-09,Wrap notes ,Soheb Rapati,,"High Priority,Text,Completed,admin,IBM/Watson","Username: jaja
Study ID: 889183/All

The entirety of a note cannot be seen because it continues outside of the pop up window instead of continuing below.",First Priority,
41038464724394,2015-07-10,2015-07-14,2015-07-14,incorrect validation errors for subgroups,Sumit Patel,,"Bugs,Text,Group pop-up,Highest Priority,Novartis Heart Failure",,First Priority,
41077267089470,2015-07-10,2015-07-13,2015-07-13,no subgroup name is selected and yet validations are saying there are. error is actually saying that two subgroups were selected per group. and table field is disabled.,,,,,,incorrect validation errors for subgroups
41077267089474,2015-07-10,2015-07-13,2015-07-13,"when narrative is checked, getting error that says need to select a table/figure/graph",,,,,,incorrect validation errors for subgroups
41381970550403,2015-07-14,2015-07-14,2015-07-14,"Study ID: 640469 Table 1-3 shows up in the dropdown, but all of my subgroup data is found in Figure 3, and I receive validation errors from both not picking anything from the dropdown and if  I write in the figure and number.",,,,,,incorrect validation errors for subgroups
41992922406393,2015-07-20,2015-07-23,2015-07-23,Save button freezing on training account,Sumit Patel,,"Text,Highest Priority","User:  Massy
Ref ID 416312
Training db

After deleting an iteration (clicking the white x and then yes) the save button doesn’t work. You end up having to ‘Close & Don’t Save’, meaning you cannot delete an iteration on this template.

She is using incognito and clearing the cache manually did not resolve the situation. This does not occur on my account for templates assigned to me, but does occur when I access her template on my computer through my account.",First Priority,
41970416104970,2015-07-20,2015-07-21,2015-07-21,unable to save changes for frequency & time unit box on training & live studies,Soheb Rapati,,"High Priority,Text,Group pop-up,Completed","user: Linda
ID: 386772 (continued to occur on other studies)

I would delete the ""weeks"", save and close.  Then when I reopen the study, the ""weeks"" would still be there as if I never deleted.
",First Priority,
41582050357679,2015-07-15,2015-07-22,2015-07-22,cannot open tables in QC on 586553,Jignesh Patel,,"High Priority,Table,QC","just gives me ""please wait"" wheel",First Priority,
